% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
117	1	33	12	0	20	453	0	1	1
118	3	20	3	0	8	437	0	1	1
118	3	15	4	0	10	501	0	1	1
118	3	14	7	0	6	325	0	1	1
118	3	13	9	0	4	169	0	1	1
118	3	19	37	0	0	19	0	1	0
118	4	26	1	0	4	105	0	1	1
118	4	23	2	0	10	233	0	1	0
118	4	25	3	0	6	153	0	1	1
118	4	29	6	0	0	41	0	1	0
118	4	24	7	0	6	153	0	1	1
118	4	22	8	0	8	209	0	1	1
118	4	27	9	0	2	65	0	1	1
118	4	21	12	0	6	153	0	1	0
118	1	47	1	0	12	225	0	1	1
118	1	39	2	0	18	373	0	1	0
118	1	36	5	0	6	117	0	1	1
118	1	38	8	0	0	28	0	1	1
118	1	46	10	0	0	28	0	1	1
118	1	33	12	0	20	453	0	1	1
119	4	25	3	0	10	217	0	1	1
119	4	28	5	0	18	453	1	0	1
119	4	24	7	0	8	193	0	1	1
119	4	22	8	0	2	59	0	1	1
119	4	27	9	0	6	141	0	1	1
119	4	21	12	0	4	97	0	1	1
119	1	47	1	0	12	125	0	1	0
119	1	39	2	0	18	201	1	0	1
119	1	36	5	0	2	26	0	1	1
119	1	41	11	0	28	469	1	0	1
119	1	33	12	0	20	249	1	0	1
119	1	40	13	0	28	469	1	0	0
119	1	44	14	0	28	469	1	0	0
119	1	32	15	0	28	469	1	0	0
119	1	34	16	0	28	469	1	0	0
119	1	50	17	0	28	469	1	0	0
119	1	35	18	0	28	469	1	0	0
119	1	48	19	0	28	469	1	0	0
119	1	37	20	0	28	469	1	0	1
120	3	13	9	0	4	293	0	1	1
120	3	12	10	0	12	349	1	0	1
120	3	0	38	0	0	19	0	1	0
120	4	26	1	0	4	105	0	1	0
120	4	23	2	0	10	217	1	0	1
120	4	25	3	0	6	153	0	1	1
120	4	29	6	0	0	41	0	1	1
120	4	24	7	0	6	153	0	1	1
120	4	22	8	0	8	209	0	1	0
120	4	27	9	0	2	65	0	1	1
120	1	39	2	0	18	201	1	0	1
120	1	36	5	0	2	32	0	1	1
120	1	38	8	0	0	19	0	1	1
120	1	46	10	0	0	11	0	1	1
120	1	41	11	0	28	469	1	0	0
120	1	40	13	0	28	469	1	0	0
120	1	44	14	0	28	469	1	0	0
120	1	32	15	0	28	469	1	0	1
120	1	34	16	0	28	469	1	0	1
120	1	50	17	0	28	469	1	0	0
120	1	35	18	0	28	469	1	0	0
121	3	14	7	0	6	437	0	1	1
121	3	12	10	0	12	405	1	0	1
121	4	26	1	0	4	105	0	1	1
121	4	23	2	0	10	217	1	0	1
121	4	25	3	0	6	153	0	1	1
121	4	24	7	0	6	153	0	1	1
121	4	22	8	0	2	65	0	1	1
121	1	39	2	0	18	201	1	0	1
121	1	36	5	0	6	63	0	1	1
121	1	38	8	0	0	15	0	1	1
121	1	46	10	0	0	15	1	0	1
121	1	41	11	0	28	469	1	0	1
121	1	40	13	0	28	469	1	0	0
121	1	44	14	0	28	469	1	0	0
121	1	32	15	0	28	469	1	0	0
121	1	34	16	0	28	469	1	0	0
121	1	50	17	0	28	469	1	0	0
121	1	35	18	0	28	469	1	0	0
121	1	48	19	0	28	469	1	0	1
121	1	37	20	0	28	469	1	0	1
122	4	23	2	0	10	217	1	0	1
122	4	25	3	0	10	217	0	1	1
122	4	28	5	0	18	453	1	0	1
122	4	29	6	0	4	97	0	1	1
122	4	24	7	0	8	193	0	1	1
122	4	22	8	0	8	193	0	1	1
122	4	27	9	0	6	141	0	1	1
122	1	39	2	0	18	241	1	0	1
122	1	36	5	0	4	51	0	1	1
122	1	46	10	0	0	19	1	0	1
122	1	33	12	0	20	293	1	0	1
122	1	40	13	0	28	549	1	0	0
122	1	32	15	0	28	549	1	0	0
122	1	34	16	0	28	549	1	0	0
122	1	35	18	0	28	549	1	0	0
122	1	37	20	0	28	549	1	0	1
123	4	26	1	0	4	105	0	1	0
123	4	23	2	0	10	217	1	0	1
123	4	25	3	0	6	153	0	1	1
123	4	29	6	0	0	41	0	1	1
123	4	24	7	0	6	153	0	1	1
123	4	22	8	0	8	209	0	1	1
123	4	21	12	0	6	75	0	1	1
123	1	39	2	0	12	173	0	1	1
123	1	36	5	0	4	61	0	1	1
123	1	46	10	0	0	19	1	0	1
123	1	40	13	0	28	549	1	0	0
123	1	32	15	0	28	549	1	0	0
123	1	35	18	0	28	549	1	0	1
123	1	37	20	0	28	549	1	0	1
124	4	23	2	0	10	233	1	0	1
124	4	25	3	0	12	301	0	1	1
124	4	29	6	0	4	105	0	1	1
124	4	24	7	0	10	233	0	1	1
124	4	22	8	0	12	301	0	1	1
124	4	27	9	0	14	389	0	1	0
124	4	21	12	0	6	153	0	1	1
124	1	39	2	0	18	453	0	1	1
124	1	36	5	0	6	141	0	1	1
124	1	38	8	0	0	36	0	1	1
124	1	46	10	0	0	36	0	1	1
125	4	26	1	0	4	141	0	1	1
125	4	23	2	0	10	233	1	0	0
125	4	24	7	0	6	209	0	1	1
125	1	39	2	0	18	373	1	0	1
125	1	36	5	0	6	141	0	1	1
125	1	38	8	0	0	15	0	1	1
125	1	46	10	0	0	36	0	1	1
126	4	23	2	0	2	109	0	1	1
126	4	27	9	0	2	109	0	1	1
126	1	36	5	0	4	51	0	1	1
126	1	46	10	0	0	19	0	1	1
126	1	40	13	0	28	469	1	0	0
126	1	44	14	0	28	469	1	0	0
126	1	32	15	0	28	469	1	0	0
126	1	34	16	0	28	469	1	0	0
126	1	50	17	0	28	469	1	0	1
126	1	35	18	0	28	469	1	0	1
126	1	48	19	0	28	469	1	0	1
127	4	26	1	0	4	177	0	1	1
127	4	23	2	0	2	109	0	1	1
127	4	27	9	0	2	109	0	1	1
127	1	36	5	0	4	61	0	1	1
127	1	46	10	0	0	22	0	1	1
127	1	41	11	0	28	469	1	0	1
127	1	40	13	0	28	469	1	0	0
127	1	44	14	0	28	469	1	0	0
127	1	50	17	0	28	469	1	0	1
127	1	35	18	0	28	469	1	0	1
128	4	26	1	0	4	177	0	1	0
128	4	23	2	0	10	389	0	1	0
128	4	27	9	0	2	109	0	1	1
128	1	36	5	0	4	61	0	1	1
128	1	38	8	0	0	22	0	1	1
128	1	46	10	0	0	22	0	1	1
128	1	40	13	0	28	469	1	0	0
128	1	44	14	0	28	469	1	0	0
128	1	32	15	0	28	469	1	0	0
128	1	34	16	0	28	469	1	0	0
128	1	50	17	0	28	469	1	0	1
128	1	35	18	0	28	469	1	0	1
129	4	26	1	0	2	137	0	1	1
129	4	27	9	0	2	137	0	1	1
129	1	36	5	0	6	101	0	1	1
129	1	46	10	0	0	26	0	1	1
129	1	40	13	0	28	549	1	0	0
129	1	32	15	0	28	549	1	0	1
129	1	34	16	0	28	549	1	0	1
129	1	35	18	0	28	549	1	0	1
130	4	27	9	0	2	137	0	1	1
130	1	36	5	0	6	129	0	1	1
130	1	38	8	0	0	32	0	1	1
130	1	46	10	0	0	32	0	1	1
130	1	40	13	0	28	549	1	0	0
130	1	32	15	0	28	549	1	0	1
131	4	29	6	0	0	85	0	1	1
131	4	21	12	0	6	325	0	1	1
131	1	36	5	0	6	153	0	1	1
131	1	38	8	0	0	41	0	1	1
131	1	46	10	0	0	41	0	1	1
132	4	29	6	0	0	85	0	1	1
132	4	21	12	0	6	325	0	1	1
132	1	36	5	0	6	153	0	1	1
132	1	38	8	0	0	41	0	1	1
132	1	46	10	0	0	41	0	1	1
133	2	7	7	0	10	999	0	1	1
133	4	29	6	0	0	85	0	1	1
133	4	27	9	0	2	137	0	1	1
133	4	21	12	0	6	325	0	1	1
133	1	36	5	0	6	101	0	1	1
133	1	38	8	0	0	26	0	1	1
133	1	46	10	0	2	41	0	1	1
133	1	40	13	0	28	469	1	0	0
133	1	44	14	0	28	469	1	0	0
133	1	32	15	0	28	469	1	0	0
133	1	34	16	0	28	469	1	0	0
134	4	29	6	0	0	113	0	1	1
134	1	36	5	0	6	129	0	1	1
134	1	38	8	0	0	32	0	1	1
134	1	46	10	0	2	53	0	1	1
134	1	40	13	0	28	469	1	0	0
134	1	44	14	0	28	469	1	0	1
135	3	13	9	0	4	453	0	1	1
135	4	29	6	0	0	113	0	1	0
135	4	27	9	0	2	185	0	1	1
135	1	36	5	0	6	101	0	1	1
135	1	38	8	0	0	26	0	1	1
135	1	46	10	0	2	41	0	1	1
135	1	40	13	0	28	469	1	0	1
135	1	44	14	0	28	469	1	0	0
135	1	32	15	0	28	469	1	0	0
135	1	34	16	0	28	469	1	0	0
136	3	13	9	0	4	453	0	1	1
136	3	12	10	0	12	1239	0	1	0
136	4	26	1	0	12	839	0	1	0
136	4	29	6	0	0	113	0	1	1
136	4	27	9	0	2	185	0	1	1
136	1	36	5	0	6	141	0	1	1
136	1	38	8	0	0	36	0	1	1
136	1	46	10	0	0	36	0	1	1
136	1	40	13	0	28	549	1	0	0
137	1	38	8	0	0	41	0	1	1
137	1	46	10	0	0	41	0	1	1
137	1	40	13	0	28	549	1	0	1
138	4	29	6	0	0	349	0	1	1
138	1	38	8	0	6	185	0	1	1
138	1	46	10	0	0	47	0	1	1
139	3	14	7	0	6	645	0	1	1
139	3	13	9	0	4	453	0	1	0
139	4	29	6	0	0	349	0	1	1
139	1	38	8	0	6	185	0	1	0
139	1	46	10	0	0	47	0	1	1
140	3	13	9	0	4	903	0	1	1
140	1	38	8	0	6	185	0	1	1
141	1	38	8	0	6	185	0	1	1
141	1	46	10	0	0	47	0	1	1
142	2	8	8	0	14	3182	0	1	1
142	1	38	8	0	6	185	0	1	1
143	4	26	1	0	12	839	1	0	1
143	1	38	8	0	6	185	0	1	1
144	1	38	8	0	28	1287	0	1	1
144	1	46	10	0	0	47	0	1	1
145	1	46	10	0	0	53	0	1	1
146	1	38	8	0	6	185	1	0	1
146	1	46	10	0	0	47	0	1	1
147	1	46	10	0	0	53	0	1	1
148	1	46	10	0	0	53	0	1	1
149	1	46	10	0	0	53	0	1	1
150	1	46	10	0	0	53	0	1	1
151	4	23	2	0	10	999	0	1	1
151	4	21	12	0	6	645	0	1	1
154	4	26	1	0	4	453	0	1	1
154	4	27	9	0	2	277	0	1	1
155	4	27	9	0	2	277	0	1	1
157	4	29	6	0	4	453	0	1	1
158	4	29	6	0	4	453	0	1	1
176	3	12	10	0	12	2481	0	1	1
212	2	2	1	0	14	389	0	1	1
212	2	4	3	0	14	389	0	1	0
212	2	1	5	0	14	389	0	1	1
212	2	3	6	0	14	389	0	1	1
212	2	7	7	0	10	233	0	1	0
212	2	8	8	0	14	389	0	1	0
212	2	9	9	0	12	301	0	1	1
212	2	5	21	0	28	1095	0	1	0
212	3	20	3	0	8	173	0	1	1
212	3	15	4	0	10	193	0	1	1
212	3	14	7	0	6	129	0	1	0
212	3	13	9	0	4	87	0	1	0
212	3	12	10	0	28	935	0	1	0
212	3	18	24	0	28	935	0	1	0
212	3	16	28	0	28	935	0	1	0
212	3	19	37	0	28	935	0	1	0
212	3	17	42	0	28	935	0	1	0
212	4	23	2	0	10	217	0	1	1
212	4	25	3	0	6	141	0	1	1
212	4	28	5	0	18	453	0	1	1
212	4	29	6	0	0	36	0	1	1
212	4	24	7	0	6	141	0	1	1
212	4	22	8	0	8	193	0	1	1
212	4	27	9	0	2	59	0	1	1
212	4	21	12	0	6	141	0	1	0
212	1	47	1	0	10	97	0	1	1
212	1	39	2	0	18	201	0	1	0
212	1	36	5	0	6	63	0	1	1
212	1	38	8	0	0	15	0	1	1
212	1	46	10	0	0	15	0	1	1
212	1	41	11	0	28	469	0	1	0
212	1	33	12	0	20	249	0	1	1
212	1	40	13	0	28	469	0	1	0
212	1	44	14	0	28	469	0	1	0
212	1	32	15	0	28	469	0	1	0
212	1	34	16	0	28	469	0	1	0
212	1	50	17	0	28	469	0	1	0
212	1	35	18	0	28	469	0	1	0
212	1	48	19	0	28	469	0	1	0
212	1	37	20	0	28	469	0	1	0
213	2	2	1	0	14	389	0	1	1
213	2	4	3	0	14	389	0	1	1
213	2	1	5	0	14	389	0	1	1
213	2	3	6	0	14	389	0	1	0
213	2	7	7	0	10	233	0	1	1
213	2	8	8	0	14	389	0	1	1
213	2	9	9	0	12	301	0	1	1
213	2	5	21	0	28	1095	0	1	0
213	3	20	3	0	8	173	0	1	1
213	3	15	4	0	10	193	0	1	1
213	3	14	7	0	8	173	0	1	1
213	3	13	9	0	4	87	0	1	1
213	3	12	10	0	28	935	0	1	0
213	3	18	24	0	28	935	0	1	0
213	3	16	28	0	28	935	0	1	0
213	3	19	37	0	28	935	0	1	0
213	3	17	42	0	28	935	0	1	0
213	4	23	2	0	10	217	0	1	0
213	4	25	3	0	6	141	0	1	1
213	4	28	5	0	18	453	0	1	1
213	4	29	6	0	0	36	0	1	1
213	4	24	7	0	6	141	0	1	1
213	4	22	8	0	8	193	0	1	1
213	4	27	9	0	2	59	0	1	1
213	4	21	12	0	6	141	0	1	1
213	1	47	1	0	10	97	0	1	1
213	1	39	2	0	18	201	0	1	0
213	1	36	5	0	6	63	0	1	1
213	1	38	8	0	0	15	0	1	1
213	1	46	10	0	0	15	0	1	1
213	1	41	11	0	28	469	0	1	0
213	1	33	12	0	20	249	0	1	1
213	1	40	13	0	28	469	0	1	0
213	1	44	14	0	28	469	0	1	0
213	1	32	15	0	28	469	0	1	0
213	1	34	16	0	28	469	0	1	0
213	1	50	17	0	28	469	0	1	0
213	1	35	18	0	28	469	0	1	0
213	1	48	19	0	28	469	0	1	0
213	1	37	20	0	28	469	0	1	0
214	2	2	1	0	14	453	0	1	1
214	2	4	3	0	14	453	0	1	1
214	2	1	5	0	14	453	0	1	1
214	2	3	6	0	14	453	0	1	1
214	2	7	7	0	10	277	0	1	1
214	2	8	8	0	14	317	0	1	0
214	2	9	9	0	12	349	0	1	1
214	2	6	28	0	0	19	0	1	0
214	3	20	3	0	8	173	0	1	1
214	3	15	4	0	10	193	0	1	1
214	3	14	7	0	8	173	0	1	0
214	3	13	9	0	4	87	0	1	1
214	3	12	10	0	28	935	0	1	0
214	3	18	24	0	28	935	0	1	0
214	3	16	28	0	28	935	0	1	0
214	3	19	37	0	28	935	0	1	0
214	3	17	42	0	28	935	0	1	0
214	4	23	2	0	10	217	0	1	0
214	4	25	3	0	6	141	0	1	1
214	4	28	5	0	18	453	0	1	0
214	4	29	6	0	0	36	0	1	1
214	4	24	7	0	6	141	0	1	1
214	4	22	8	0	8	193	0	1	1
214	4	27	9	0	2	59	0	1	0
214	4	21	12	0	6	141	0	1	0
214	1	47	1	0	10	97	0	1	1
214	1	39	2	0	18	201	0	1	0
214	1	36	5	0	6	63	0	1	1
214	1	38	8	0	0	15	0	1	1
214	1	46	10	0	0	15	0	1	1
214	1	41	11	0	28	469	0	1	0
214	1	33	12	0	20	249	0	1	0
214	1	40	13	0	28	469	0	1	0
214	1	44	14	0	28	469	0	1	0
214	1	32	15	0	28	469	0	1	0
214	1	34	16	0	28	469	0	1	0
214	1	50	17	0	28	469	0	1	0
214	1	35	18	0	28	469	0	1	0
214	1	48	19	0	28	469	0	1	0
214	1	37	20	0	28	469	0	1	0
215	2	1	5	0	14	807	0	1	1
215	2	7	7	0	10	501	0	1	1
215	2	8	8	0	14	807	0	1	1
215	2	9	9	0	12	621	0	1	1
215	3	20	3	0	8	241	0	1	1
215	3	15	4	0	10	277	0	1	1
215	3	14	7	0	8	241	0	1	1
215	3	13	9	0	4	125	0	1	1
215	3	18	24	0	28	1287	0	1	0
215	3	16	28	0	28	1287	0	1	0
215	4	23	2	0	10	217	0	1	1
215	4	25	3	0	6	141	0	1	1
215	4	28	5	0	18	453	0	1	1
215	4	29	6	0	0	36	0	1	1
215	4	24	7	0	6	141	0	1	1
215	4	22	8	0	8	193	0	1	0
215	4	27	9	0	2	59	0	1	1
215	4	21	12	0	6	141	0	1	0
215	1	47	1	0	10	117	0	1	1
215	1	39	2	0	18	241	0	1	0
215	1	36	5	0	6	75	0	1	1
215	1	38	8	0	0	19	0	1	1
215	1	46	10	0	0	19	0	1	0
215	1	33	12	0	20	293	0	1	0
215	1	40	13	0	28	549	0	1	0
