% time	cellId	IMSI	RNTI	sinrLinear
0.292	1	33	12	66.6314
0.293	1	40	13	975.678
0.294	1	44	14	2185.86
0.295	1	32	15	4838.93
0.296	1	34	16	678.96
0.297	1	50	17	736.419
0.298	1	35	18	1290.25
0.299	1	48	19	927.237
0.3	1	37	20	50702.3
0.301	2	5	21	7690.59
0.304	3	18	24	5207.51
0.308	2	6	28	5.80817
0.308	3	16	28	6.87187
0.317	3	19	37	3936.95
0.318	3	17	42	4458.45
0.321	2	2	1	16.7467
0.321	3	11	41	0.569004
0.321	4	26	1	0.140044
0.321	1	47	1	9.51858
0.322	4	23	2	9.37264
0.322	1	39	2	37.8261
0.323	2	4	3	17.2752
0.323	3	20	3	6.23851
0.323	4	25	3	4.12283
0.323	1	49	3	0.112136
0.324	3	15	4	8.50618
0.324	1	31	4	0.25856
0.325	2	1	5	15.5718
0.325	4	28	5	33.041
0.325	1	36	5	3.81017
0.326	2	3	6	15.6037
0.326	4	29	6	0.769316
0.326	1	45	6	0.533392
0.327	2	7	7	7.49461
0.327	3	14	7	4.91453
0.327	4	24	7	4.58782
0.327	1	43	7	0.428383
0.328	2	8	8	23.8732
0.328	4	22	8	5.96317
0.328	1	38	8	0.671318
0.329	2	9	9	12.7597
0.329	3	13	9	1.73952
0.329	4	27	9	1.19873
0.329	1	42	9	0.231724
0.33	3	12	10	10.8854
0.33	1	46	10	0.644338
0.331	1	41	11	1401.89
0.332	4	21	12	2.98202
0.332	1	33	12	65.8144
0.333	1	40	13	974.3
0.334	1	44	14	2187.69
0.335	1	32	15	4816.31
0.336	1	34	16	680.133
0.337	1	50	17	735.186
0.338	1	35	18	1288.07
0.339	1	48	19	927.037
0.34	1	37	20	50259.8
0.341	2	5	21	7744.36
0.344	3	18	24	5182.05
0.348	2	6	28	5.82368
0.348	3	16	28	6.90843
0.357	3	19	37	3925.39
0.358	3	17	42	4479.98
0.361	2	2	1	16.8948
0.361	3	11	41	0.569194
0.361	4	26	1	0.139253
0.361	1	47	1	9.38927
0.362	4	23	2	9.34671
0.362	1	39	2	37.8055
0.363	2	4	3	17.3332
0.363	3	20	3	6.24455
0.363	4	25	3	4.17598
0.363	1	49	3	0.112283
0.364	3	15	4	8.36967
0.364	1	31	4	0.258693
0.365	2	1	5	15.3681
0.365	4	28	5	32.7591
0.365	1	36	5	3.83561
0.366	2	3	6	15.461
0.366	4	29	6	0.762659
0.366	1	45	6	0.535567
0.367	2	7	7	7.43154
0.367	3	14	7	4.96029
0.367	4	24	7	4.60621
0.367	1	43	7	0.42682
0.368	2	8	8	24.135
0.368	4	22	8	5.92063
0.368	1	38	8	0.67469
0.369	2	9	9	12.8582
0.369	3	13	9	1.73832
0.369	4	27	9	1.21054
0.369	1	42	9	0.232002
0.37	3	12	10	10.8707
0.37	1	46	10	0.64482
0.371	1	41	11	1405.65
0.372	4	21	12	2.99163
0.372	1	33	12	65.0004
0.373	1	40	13	972.922
0.374	1	44	14	2189.5
0.375	1	32	15	4793.8
0.376	1	34	16	681.307
0.377	1	50	17	733.955
0.378	1	35	18	1285.9
0.379	1	48	19	926.833
0.38	1	37	20	49814.3
0.381	2	5	21	7798.62
0.384	3	18	24	5156.72
0.388	2	6	28	5.83924
0.388	3	16	28	6.94524
0.397	3	19	37	3913.84
0.398	3	17	42	4501.63
0.401	2	2	1	17.0414
0.401	3	11	41	0.569369
0.401	4	26	1	0.138484
0.401	1	47	1	9.26127
0.402	4	23	2	9.32046
0.402	1	39	2	37.7798
0.403	2	4	3	17.3876
0.403	3	20	3	6.24905
0.403	4	25	3	4.22893
0.403	1	49	3	0.112431
0.404	3	15	4	8.23532
0.404	1	31	4	0.258829
0.405	2	1	5	15.1655
0.405	4	28	5	32.4741
0.405	1	36	5	3.86104
0.406	2	3	6	15.3194
0.406	4	29	6	0.755986
0.406	1	45	6	0.537747
0.407	2	7	7	7.36892
0.407	3	14	7	5.00562
0.407	4	24	7	4.6237
0.407	1	43	7	0.425259
0.408	2	8	8	24.399
0.408	4	22	8	5.87857
0.408	1	38	8	0.678066
0.409	2	9	9	12.9569
0.409	3	13	9	1.73702
0.409	4	27	9	1.22247
0.409	1	42	9	0.232282
0.41	3	12	10	10.8556
0.41	1	46	10	0.645302
0.411	1	41	11	1409.43
0.412	4	21	12	3.00131
0.412	1	33	12	64.1898
0.413	1	40	13	971.544
0.414	1	44	14	2191.29
0.415	1	32	15	4771.41
0.416	1	34	16	682.484
0.417	1	50	17	732.726
0.418	1	35	18	1283.73
0.419	1	48	19	926.626
0.42	1	37	20	49366.3
0.421	2	5	21	7853.39
0.424	3	18	24	5131.52
0.428	2	6	28	5.85486
0.428	3	16	28	6.98233
0.437	3	19	37	3902.28
0.438	3	17	42	4523.4
0.441	2	2	1	17.1861
0.441	3	11	41	0.569528
0.441	4	26	1	0.137737
0.441	1	47	1	9.1346
0.442	4	23	2	9.29391
0.442	1	39	2	37.749
0.443	2	4	3	17.4383
0.443	3	20	3	6.252
0.443	4	25	3	4.28164
0.443	1	49	3	0.112579
0.444	3	15	4	8.1031
0.444	1	31	4	0.258969
0.445	2	1	5	14.9639
0.445	4	28	5	32.1864
0.445	1	36	5	3.88644
0.446	2	3	6	15.1787
0.446	4	29	6	0.749298
0.446	1	45	6	0.539934
0.447	2	7	7	7.30677
0.447	3	14	7	5.05048
0.447	4	24	7	4.64026
0.447	1	43	7	0.4237
0.448	2	8	8	24.6652
0.448	4	22	8	5.83699
0.448	1	38	8	0.681445
0.449	2	9	9	13.0558
0.449	3	13	9	1.73562
0.449	4	27	9	1.23455
0.449	1	42	9	0.232564
0.45	3	12	10	10.8403
0.45	1	46	10	0.645785
0.451	1	41	11	1413.22
0.452	4	21	12	3.01104
0.452	1	33	12	63.3829
0.453	1	40	13	970.166
0.454	1	44	14	2193.07
0.455	1	32	15	4749.12
0.456	1	34	16	683.663
0.457	1	50	17	731.499
0.458	1	35	18	1281.56
0.459	1	48	19	926.415
0.46	1	37	20	48916
0.461	2	5	21	7908.66
0.464	3	18	24	5106.46
0.468	2	6	28	5.87053
0.468	3	16	28	7.01968
0.477	3	19	37	3890.73
0.478	3	17	42	4545.29
0.481	2	2	1	17.329
0.481	3	11	41	0.56967
0.481	4	26	1	0.137011
0.481	1	47	1	9.00928
0.482	4	23	2	9.26705
0.482	1	39	2	37.713
0.483	2	4	3	17.4853
0.483	3	20	3	6.25335
0.483	4	25	3	4.33406
0.483	1	49	3	0.112728
0.484	3	15	4	7.973
0.484	1	31	4	0.259113
0.485	2	1	5	14.7635
0.485	4	28	5	31.896
0.485	1	36	5	3.91182
0.486	2	3	6	15.0391
0.486	4	29	6	0.742597
0.486	1	45	6	0.542126
0.487	2	7	7	7.24509
0.487	3	14	7	5.09483
0.487	4	24	7	4.65586
0.487	1	43	7	0.422144
0.488	2	8	8	24.9335
0.488	4	22	8	5.79587
0.488	1	38	8	0.684828
0.489	2	9	9	13.1548
0.489	3	13	9	1.73413
0.489	4	27	9	1.24676
0.489	1	42	9	0.232849
0.49	3	12	10	10.8246
0.49	1	46	10	0.646269
0.491	1	41	11	1417.02
0.492	4	21	12	3.02084
0.492	1	33	12	62.5801
0.493	1	40	13	968.787
0.494	1	44	14	2194.83
0.495	1	32	15	4726.95
0.496	1	34	16	684.845
0.497	1	50	17	730.273
0.498	1	35	18	1279.38
0.499	1	48	19	926.2
0.5	1	37	20	48463.9
0.501	2	5	21	7964.45
0.504	3	18	24	5081.53
0.508	2	6	28	5.88625
0.508	3	16	28	7.0573
0.517	3	19	37	3879.19
0.518	3	17	42	4567.31
0.521	2	2	1	17.4698
0.521	3	11	41	0.569796
0.521	4	26	1	0.136307
0.521	1	47	1	8.88531
0.522	4	23	2	9.2399
0.522	1	39	2	37.672
0.523	2	4	3	17.5284
0.523	3	20	3	6.2531
0.523	4	25	3	4.38614
0.523	1	49	3	0.112877
0.524	3	15	4	7.84499
0.524	1	31	4	0.259261
0.525	2	1	5	14.5644
0.525	4	28	5	31.6035
0.525	1	36	5	3.93716
0.526	2	3	6	14.9005
0.526	4	29	6	0.735885
0.526	1	45	6	0.544325
0.527	2	7	7	7.18389
0.527	3	14	7	5.13861
0.527	4	24	7	4.67047
0.527	1	43	7	0.420591
0.528	2	8	8	25.2038
0.528	4	22	8	5.7552
0.528	1	38	8	0.688214
0.529	2	9	9	13.2539
0.529	3	13	9	1.73253
0.529	4	27	9	1.25912
0.529	1	42	9	0.233136
0.53	3	12	10	10.8086
