% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1614	1	39	2	0	28	9422	0	1
1615	1	36	5	0	28	9422	0	1
1616	1	33	12	0	28	9422	0	1
1617	1	37	20	0	28	9422	0	1
1618	1	38	8	0	22	5861	0	1
1619	1	42	9	0	16	3822	0	1
1620	1	32	15	0	24	6882	0	1
1621	1	40	13	0	20	4904	0	1
1622	1	35	18	0	20	4904	0	1
1623	1	16	23	0	6	1287	0	1
1624	1	43	7	0	18	4107	0	1
1625	1	34	16	0	14	3182	0	1
1626	1	50	17	0	14	3182	0	1
1627	1	48	19	0	14	3182	0	1
1628	1	31	4	0	12	2481	0	1
1629	1	46	10	0	12	2481	0	1
1630	1	45	6	0	8	1764	0	1
1631	1	44	14	0	6	1287	0	1
1632	1	49	3	0	10	1980	0	1
1633	1	11	22	0	6	1287	0	1
1705	1	16	23	0	8	1764	0	1
1706	1	10	28	0	22	5861	0	1
1707	1	6	27	0	16	3822	0	1
1708	1	30	29	0	10	1980	0	1
1709	1	18	25	0	12	2481	0	1
1710	1	19	26	0	26	7708	0	1
1711	1	17	24	0	24	6882	0	1
1712	1	5	21	0	14	3182	0	1
1713	1	47	1	0	28	9422	0	1
1714	1	41	11	0	18	4107	0	1
1715	1	39	2	0	28	9422	0	1
1716	1	36	5	0	28	9422	0	1
1717	1	33	12	0	28	9422	0	1
1718	1	37	20	0	28	9422	0	1
1719	1	38	8	0	22	5861	0	1
1720	1	42	9	0	16	3822	0	1
1721	1	32	15	0	24	6882	0	1
1722	1	40	13	0	20	4904	0	1
1723	1	35	18	0	20	4904	0	1
1724	1	43	7	0	18	4107	0	1
1725	1	34	16	0	14	3182	0	1
1726	1	50	17	0	14	3182	0	1
1727	1	48	19	0	14	3182	0	1
1728	1	31	4	0	12	2481	0	1
1729	1	46	10	0	12	2481	0	1
1730	1	45	6	0	8	1764	0	1
1731	1	44	14	0	6	1287	0	1
1732	1	49	3	0	10	1980	0	1
1733	1	11	22	0	6	1287	0	1
1805	1	16	23	0	8	1764	0	1
1806	1	10	28	0	22	5861	0	1
1807	1	6	27	0	16	3822	0	1
1808	1	30	29	0	10	1980	0	1
1809	1	18	25	0	12	2481	0	1
1810	1	19	26	0	26	7708	0	1
1811	1	17	24	0	24	6882	0	1
1812	1	5	21	0	14	3182	0	1
1813	1	47	1	0	28	9422	0	1
1814	1	41	11	0	18	4107	0	1
1815	1	39	2	0	28	9422	0	1
1816	1	36	5	0	28	9422	0	1
1817	1	33	12	0	28	9422	0	1
1818	1	37	20	0	28	9422	0	1
1819	1	38	8	0	22	5861	0	1
1820	1	42	9	0	16	3822	0	1
1821	1	32	15	0	24	6882	0	1
1822	1	40	13	0	20	4904	0	1
1823	1	35	18	0	20	4904	0	1
1824	1	43	7	0	18	4107	0	1
1825	1	34	16	0	14	3182	0	1
1826	1	50	17	0	14	3182	0	1
1827	1	48	19	0	14	3182	0	1
1828	1	31	4	0	12	2481	0	1
1829	1	46	10	0	12	2481	0	1
1830	1	45	6	0	8	1764	0	1
1831	1	49	3	0	10	1980	0	1
1832	1	44	14	0	6	1287	0	1
1833	1	11	22	0	6	1287	0	1
1905	1	10	28	0	22	5861	0	1
1906	1	6	27	0	16	3822	0	1
1907	1	16	23	0	8	1764	0	1
1908	1	30	29	0	10	1980	0	1
1909	1	18	25	0	12	2481	0	1
1910	1	19	26	0	26	7708	0	1
1911	1	17	24	0	24	6882	0	1
1912	1	5	21	0	14	3182	0	1
1913	1	47	1	0	28	9422	0	1
1914	1	41	11	0	18	4107	0	1
1915	1	39	2	0	28	9422	0	1
1916	1	36	5	0	28	9422	0	1
1917	1	33	12	0	28	9422	0	1
1918	1	37	20	0	28	9422	0	1
1919	1	38	8	0	22	5861	0	1
1920	1	42	9	0	16	3822	0	1
1921	1	32	15	0	24	6882	0	1
1922	1	40	13	0	20	4904	0	1
1923	1	35	18	0	20	4904	0	1
1924	1	43	7	0	18	4107	0	1
1925	1	34	16	0	14	3182	0	1
1926	1	50	17	0	14	3182	0	1
1927	1	48	19	0	14	3182	0	1
1928	1	31	4	0	12	2481	0	1
1929	1	46	10	0	12	2481	0	1
1930	1	49	3	0	10	1980	0	1
1931	1	45	6	0	8	1764	0	1
1932	1	44	14	0	6	1287	0	1
1933	1	11	22	0	6	1287	0	1
2005	1	10	28	0	22	5861	0	1
2006	1	6	27	0	16	3822	0	1
2007	1	30	29	0	10	1980	0	1
2008	1	16	23	0	8	1764	0	1
2009	1	18	25	0	12	2481	0	1
2010	1	19	26	0	26	7708	0	1
2011	1	17	24	0	24	6882	0	1
2012	1	5	21	0	14	3182	0	1
2013	1	47	1	0	28	9422	0	1
2014	1	41	11	0	18	4107	0	1
2015	1	39	2	0	28	9422	0	1
2016	1	36	5	0	28	9422	0	1
2017	1	33	12	0	28	9422	0	1
2018	1	37	20	0	28	9422	0	1
2019	1	38	8	0	22	5861	0	1
2020	1	42	9	0	16	3822	0	1
2021	1	32	15	0	24	6882	0	1
2022	1	40	13	0	20	4904	0	1
2023	1	35	18	0	20	4904	0	1
2024	1	43	7	0	18	4107	0	1
2025	1	34	16	0	14	3182	0	1
2026	1	50	17	0	14	3182	0	1
2027	1	48	19	0	14	3182	0	1
2028	1	31	4	0	12	2481	0	1
2029	1	46	10	0	12	2481	0	1
2030	1	49	3	0	10	1980	0	1
2031	1	45	6	0	8	1764	0	1
2032	1	44	14	0	6	1287	0	1
2033	1	11	22	0	6	1287	0	1
2105	1	10	28	0	22	5861	0	1
2106	1	30	29	0	10	1980	0	1
2107	1	18	25	0	12	2481	0	1
2108	1	16	23	0	8	1764	0	1
2109	1	19	26	0	26	7708	0	1
2110	1	17	24	0	24	6882	0	1
2111	1	5	21	0	14	3182	0	1
2112	1	47	1	0	28	9422	0	1
2113	1	41	11	0	18	4107	0	1
2114	1	39	2	0	28	9422	0	1
2115	1	36	5	0	28	9422	0	1
2116	1	33	12	0	28	9422	0	1
2117	1	37	20	0	28	9422	0	1
2118	1	38	8	0	22	5861	0	1
2119	1	42	9	0	16	3822	0	1
2120	1	32	15	0	24	6882	0	1
2121	1	40	13	0	20	4904	0	1
2122	1	35	18	0	20	4904	0	1
2123	1	6	27	0	14	3182	0	1
2124	1	43	7	0	18	4107	0	1
2125	1	34	16	0	14	3182	0	1
